SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000215067	3.89514	0.583934	1.13651	1.40976	3.74321
ENSG00000215190	3.48497	0.824932	0.567287	1.00309	5.19557
ENSG00000215246	5.23542	0.269338	0.352578	0.441312	4.46721
ENSG00000215256	4.32099	0.738899	0.431089	0.662359	3.05207
ENSG00000215386	37.4673	3.8682	3.3171	10.671	40.0903
ENSG00000215447	1.343	0.320584	0.285007	0.338545	1.38999
ENSG00000215533	1.09853	0.00489278	0.442543	0.025827	1.21439
ENSG00000216895	2.02596	1.03949	0.250036	1.30042	2.57868
ENSG00000218510	13.2161	2.29912	0.602535	2.43776	21.5112
ENSG00000218537	24.584	11.2587	2.47966	3.45738	25.2296
ENSG00000219545	10.3539	2.23705	1.17792	3.34802	11.4108
ENSG00000219665	3.59475	2.76057	1.20587	2.26429	6.90234
ENSG00000221817	1.91722	0.765607	0.528454	1.30616	1.38225
ENSG00000222041	18.9934	34.7403	1.67422	7.44625	17.9483
ENSG00000223343	13.6338	2.43434	1.84512	1.8114	20.7321
ENSG00000223473	0.437419	0.419762	0.486923	1.75556	0.299733
ENSG00000223482	14.771	2.62556	1.19833	2.68734	11.5052
ENSG00000223534	0.56394	0.976067	0	1.54714	0.683097
ENSG00000223697	1.48925	1.48617	0.521878	0.300396	0.821294
ENSG00000223745	7.14183	2.40199	1.06507	4.45974	4.68154
ENSG00000223749	2.22182	0.709135	0.144242	1.53167	3.44216
ENSG00000223797	2.00355	0.284113	0.596925	0.76184	1.8869
ENSG00000223799	2.74495	1.15529	0.122262	0.974469	4.0256
ENSG00000223837	4.97611e-238	0	0	0	1.91062e-53
ENSG00000223891	7.58119	0.301237	0.135923	1.01189	5.27173
ENSG00000223930	5.03607	1.37053	0.180628	0.0765856	2.56503
ENSG00000223960	2.06167	1.69231	0.472326	1.66785	3.3587
ENSG00000223989	6.80675	0.550995	1.00217	1.20806	7.69531
ENSG00000224032	15.8078	1.84087	0.503569	2.23867	20.1628
ENSG00000224078	17.9351	4.15649	3.275775	4.394565	21.8815
ENSG00000224081	3.2463	0.667704	0.30453	1.32372	3.05119
ENSG00000224152	4.13279	0.538011	0.500565	0.825596	4.59011
ENSG00000224165	4.15705	0.856125	0.155761	1.93274	9.45851
ENSG00000224307	1.09771	0.547032	0.329491	0.482031	0.486668
ENSG00000224397	0.823305	1.3658	0.0169765	0.95485	1.12544
ENSG00000224407	17.4253	1.77809	0.336116	1.4911	14.7955
ENSG00000224536	0.561768	0	0	0.329224	1.0081
ENSG00000224597	18.5897	8.68903	3.00253	7.75046	25.2391
ENSG00000224660	4.12285	1.44295	0.515661	1.35559	2.13665
ENSG00000224699	1.75701	2.64395	1.30224	3.88809	0.941552
ENSG00000224713	25.6151	0.761812	0.906724	0.135786	22.2554
ENSG00000224870	9.07756	0.796283	0.791019	1.51567	8.26168
ENSG00000224914	2.49988	0.879435	0.668504	1.08998	2.8361
ENSG00000224975	1.20607	1.73481	1.82968	3.00652	1.61446
ENSG00000224985	15.5695	1.93238	0.587713	0.281784	13.7369
ENSG00000225032	29.849	3.48099	3.02321	2.61804	51.0572
ENSG00000225138	6.52054	0	0.028938	0.399894	4.40405
ENSG00000225243	0.745009	0	1.41957	1.5322	0.398621
